,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Esperance,40,TT,1553790683,59,10.24,-61.45,89.6,16.11
1,Dikson,88,RU,1553791117,95,73.51,80.55,21.07,19.37
2,Japura,80,ID,1553791118,90,-0.42,102.29,76.42,2.26
3,Saint-Augustin,0,FR,1553790641,34,44.83,-0.61,66.2,11.41
4,Lompoc,40,US,1553790887,87,34.64,-120.46,61.0,5.82
5,Taormina,75,IT,1553791076,76,37.85,15.29,57.99,9.17
6,Camacha,40,PT,1553788800,72,33.08,-16.33,66.2,8.05
7,Port Lincoln,0,AU,1553791119,96,-34.72,135.86,62.38,10.65
8,Zyryanskoye,0,RU,1553791119,64,56.83,86.62,15.49,2.71
9,Atuona,0,PF,1553790855,100,-9.8,-139.03,82.09,15.79
10,Neiafu,75,TO,1553788800,100,-18.65,-173.98,75.2,8.86
11,Sikonge,80,TZ,1553791120,93,-5.63,32.75,67.15,4.61
12,Ponta do Sol,36,BR,1553790904,59,-20.63,-46.0,82.27,4.72
13,Georgetown,75,GY,1553788800,74,6.8,-58.16,87.8,13.87
14,Khatanga,68,RU,1553791122,87,71.98,102.47,17.56,13.78
15,Qaanaaq,44,GL,1553790853,97,77.48,-69.36,-1.07,5.39
16,Bluff,92,AU,1553790854,96,-23.58,149.07,70.21,8.97
17,Victoria,75,BN,1553788800,94,5.28,115.24,80.01,2.24
18,Hellvik,75,NO,1553791032,87,59.92,5.78,48.99,13.87
19,Albany,90,US,1553790816,39,42.65,-73.75,50.0,20.8
20,Oneonta,20,US,1553790968,52,42.45,-75.06,51.01,5.01
21,Ouesso,36,CG,1553791124,69,1.61,16.05,84.61,2.71
22,Nome,90,US,1553791121,60,30.04,-94.42,70.0,11.41
23,Bredasdorp,32,ZA,1553790635,61,-34.53,20.04,77.0,18.34
24,Rikitea,48,PF,1553790853,100,-23.12,-134.97,77.59,4.16
25,Olavarria,36,AR,1553791125,53,-36.89,-60.32,75.43,15.79
26,Portland,75,US,1553790596,93,45.52,-122.67,46.0,3.15
27,Saryg-Sep,44,RU,1553791126,61,51.49,95.55,15.49,2.71
28,New Norfolk,0,AU,1553790854,67,-42.78,147.06,60.8,11.41
29,Houston,75,US,1553791035,60,29.76,-95.37,73.0,3.36
30,Busselton,0,AU,1553790621,38,-33.64,115.35,55.99,17.92
31,Sayyan,8,YE,1553791127,74,15.17,44.32,56.08,2.37
32,Tucuman,0,PE,1553790966,67,-17.17,-70.89,71.74,4.38
33,Ust-Ishim,80,RU,1553791127,91,57.69,71.17,31.69,8.41
34,Muros,0,ES,1553790905,32,42.77,-9.06,73.99,8.05
35,Ahipara,64,NZ,1553791128,100,-35.17,173.16,61.93,6.96
36,Tiksi,36,RU,1553790857,76,71.64,128.87,11.17,20.49
37,East London,0,ZA,1553788800,82,-33.02,27.91,66.2,17.22
38,Ilulissat,40,GL,1553788200,71,69.22,-51.1,6.8,17.22
39,Rantepao,76,ID,1553791129,100,-2.97,119.9,67.24,1.36
40,Kharabali,20,RU,1553791129,63,47.41,47.25,41.14,11.99
41,Bom Jardim,75,BR,1553788800,58,-7.8,-35.59,84.2,11.41
42,Punta Arenas,75,CL,1553790146,58,-53.16,-70.91,57.2,14.99
43,Chokurdakh,88,RU,1553791131,78,70.62,147.9,10.81,15.79
44,Puerto Ayora,40,EC,1553790626,78,-0.74,-90.35,82.4,10.29
45,Ushuaia,0,AR,1553788800,70,-54.81,-68.31,50.0,18.48
46,Rancho Palos Verdes,40,US,1553790974,72,33.75,-118.37,64.0,7.63
47,Fortuna,20,ES,1553791115,59,38.18,-1.13,63.0,12.75
48,Campagna,75,IT,1553791085,41,40.66,15.11,57.2,10.29
